Card_Type,Name,MagStrip,DoubleSided,Card Type,New Card Type ID,Slot Punch,Overlay,Col/Col,drop ship?,Accessories,grommet,hole punch
400,DATACARD TEST CLR/BW + OVERLAY,FALSE,TRUE,PVC White,1,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
401,DATACARD CLR/BW,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
501,1-Side Col  DROP-SHIP,FALSE,FALSE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
502,2-Side Col/BW DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
503,2-Side Col/Col DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
504,1-Side Col Mag DROP SHIP,TRUE,FALSE,MAG STRIPE,2,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
505,2-Side Mag Col/BW DROP SHIP,TRUE,TRUE,MAG STRIPE,2,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
506,2-Side Mag Col/Col DROP SHIP,TRUE,TRUE,MAG STRIPE,2,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
507,1-Side GLB HOLO DROP SHIP,FALSE,FALSE,GLOBE HOLOGRAM,3,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
508,2-Side Col/BW GLB HOLO DROP SHIP,FALSE,TRUE,GLOBE HOLOGRAM,3,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
509,2-Side Col/Col GLB HOLO DROP SHIP,FALSE,TRUE,GLOBE HOLOGRAM,3,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
510,1-Side Col Slot Punch DROP SHIP,FALSE,FALSE,PVC White,1,TRUE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
511,2-Side Col/BW Slot Punch DROP SHIP,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
512,2-Side COL/COL Slot Punch DROP SHIP,FALSE,TRUE,PVC White,1,TRUE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
513,2S-C/B-slot-OL-CLIP-Drop Ship,FALSE,TRUE,PVC White,1,TRUE,TRUE,FALSE,TRUE,CLIP,FALSE,FALSE
514,2S-C/C-Cust Letter-Drop Ship,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
